filename,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc_mean,mfcc_var,mfcc_mean,mfcc_var,mfcc_mean,mfcc_var,mfcc_mean,mfcc_var,mfcc_mean,mfcc_var,mfcc_mean,mfcc_var,label
66036001.wav,-294.30224609375,117.24359893798828,-68.48435974121094,50.553733825683594,-47.06147003173828,23.729042053222656,-14.081483840942383,5.3511881828308105,-1.89897620677948,-6.1269001960754395,9.780891418457031,-9.772346496582031,14.160508155822754,-8.7776517868042,13.613045692443848,-1.1181190013885498,1.9683828353881836,0.7265087366104126,-1.7479878664016724,9.327949523925781,BeardedSeal
66036002.wav,-185.65853881835938,105.90583038330078,-66.1229248046875,44.24237060546875,-23.43954086303711,19.372400283813477,-7.097809314727783,2.7721681594848633,3.3375887870788574,-4.314465522766113,7.786442756652832,-8.479844093322754,12.128215789794922,-7.289464950561523,7.440228462219238,2.362396717071533,-0.3323388695716858,8.490604400634766,-1.9962674379348755,9.475820541381836,BeardedSeal
66036003.wav,-187.5102996826172,95.51775360107422,-78.12732696533203,48.2755126953125,-29.22890281677246,24.64512062072754,1.2996578216552734,-1.6956275701522827,-6.868872165679932,-10.542464256286621,12.375134468078613,-5.812206745147705,9.509310722351074,-14.050565719604492,-1.323883295059204,-3.52640438079834,-4.96992301940918,5.196375370025635,-8.020137786865234,5.523836612701416,BeardedSeal
66036004.wav,-187.05438232421875,98.9718017578125,-64.28353118896484,63.1817626953125,-36.76241683959961,9.663341522216797,-11.514646530151367,0.06243286281824112,3.788071393966675,-6.726986885070801,4.442783832550049,-9.395018577575684,12.63001537322998,-11.952579498291016,3.9372799396514893,-3.58262300491333,-6.434962749481201,4.467719078063965,-7.579069137573242,6.586840629577637,BeardedSeal
66036005.wav,-323.3212890625,138.7270965576172,-58.335731506347656,68.25005340576172,-36.06351852416992,21.519115447998047,-26.863435745239258,-7.822646617889404,-5.668883800506592,-3.840566635131836,18.72570037841797,-4.829372882843018,20.721067428588867,-7.151087284088135,18.695838928222656,5.234714508056641,-0.19947771728038788,8.538098335266113,-7.955493927001953,5.729374408721924,BeardedSeal
66037001.wav,-256.5301818847656,164.47206115722656,-66.31903839111328,48.4874267578125,-35.83502197265625,23.115938186645508,-7.231389045715332,4.14504337310791,2.6642587184906006,-5.275294780731201,8.50374984741211,-12.235960960388184,13.061729431152344,-11.898262023925781,2.7032010555267334,-4.199375152587891,-5.109226226806641,1.251781702041626,-13.95650577545166,1.082204818725586,BeardedSeal
66037002.wav,-267.4120178222656,175.7110595703125,-85.63790893554688,60.51343536376953,-37.59254837036133,21.170455932617188,-22.47441864013672,11.600664138793945,6.9948272705078125,-7.384837627410889,14.609640121459961,-10.718713760375977,13.640629768371582,-11.71284008026123,9.023714065551758,-5.7954559326171875,-3.795778512954712,2.7463436126708984,-12.295591354370117,5.821533679962158,BeardedSeal
66037003.wav,-314.2277526855469,128.90493774414062,-81.27961730957031,46.94417953491211,-40.3281135559082,18.197317123413086,-12.224117279052734,7.039425373077393,3.5794363021850586,-0.010167550295591354,17.51432991027832,-8.812520027160645,18.95728302001953,-5.270023822784424,11.465652465820312,4.410946846008301,1.1484596729278564,9.083866119384766,-3.2997050285339355,10.290273666381836,BeardedSeal
66037004.wav,-314.24822998046875,136.01046752929688,-92.7611312866211,52.291194915771484,-46.66219711303711,27.770811080932617,-16.990699768066406,8.760618209838867,4.561941146850586,-0.1619603931903839,18.753772735595703,-9.671097755432129,24.42462921142578,-5.64501428604126,13.426360130310059,2.6944797039031982,2.026961088180542,9.202012062072754,-4.0816650390625,11.831104278564453,BeardedSeal
66037005.wav,-296.3770751953125,122.96711730957031,-83.7213363647461,49.95063781738281,-36.25762939453125,20.06279945373535,-15.748494148254395,5.240245819091797,3.1331441402435303,-1.1435359716415405,16.48893165588379,-8.3745698928833,21.03921890258789,-4.531310558319092,12.254738807678223,4.866415023803711,1.5543988943099976,9.566827774047852,-3.3558051586151123,10.434258460998535,BeardedSeal
